-49.5355339	33.5755348	664
-49.5355339	33.5755348	756
-47.9134178	34.6593971	664
-47.9134178	34.6593971	756
-46	35.0400009	664
-46	35.0400009	756
-38.5	35.0400009	664
46	35.0400009	761
40.7999992	35.0400009	761
47.9134178	34.6593971	761
49.5355339	33.5755348	761
50.6193962	31.9534168	761
51	30.0400009	761
51	-10.96	761
50.6193962	-12.8734169	761
49.5355339	-14.4955339	761
47.9134178	-15.5793972	761
46	-15.96	761
40.7999992	-15.96	756
-46	-15.96	761
20.3999996	-15.96	761
-47.9134178	-15.5793972	761
-49.5355339	-14.4955339	761
-50.6193962	-12.8734169	761
-51	-10.96	761
-51	30.0400009	761
-50.6193962	31.9534168	761
-49.5355339	33.5755348	761
-47.9134178	34.6593971	761
-46	35.0400009	761
-38.5	35.0400009	756
-38.5	35.0400009	761
46	35.0400009	1420
40.7999992	35.0400009	1420
47.9134178	34.6593971	1420
49.5355339	33.5755348	1420
50.6193962	31.9534168	1420
51	30.0400009	1420
51	-10.96	1420
50.6193962	-12.8734169	1420
49.5355339	-14.4955339	1420
47.9134178	-15.5793972	1420
46	-15.96	1420
25.3999996	-15.96	761
25.3999996	-15.96	1420
20.3999996	-15.96	1420
-46	-15.96	1420
-47.9134178	-15.5793972	1420
-49.5355339	-14.4955339	1420
-50.6193962	-12.8734169	1420
-51	-10.96	1420
-51	30.0400009	1420
-50.6193962	31.9534168	1420
-49.5355339	33.5755348	1420
-47.9134178	34.6593971	1420
-46	35.0400009	1420
-38.5	35.0400009	1420
40.7999992	35.0400009	0
46	35.0400009	0
47.9134178	-15.5793972	0
49.5355339	-14.4955339	0
50.6193962	-12.8734169	0
51	-10.96	0
51	30.0400009	0
50.6193962	31.9534168	0
49.5355339	33.5755348	0
47.9134178	34.6593971	0
38.5	35.0400009	1420
38.5	35.0400009	0
35.7999992	-15.96	765.992432
35.7999992	-15.96	770.984863
35.7999992	-15.96	775.977295
35.7999992	-15.96	780.969727
35.7999992	-15.96	785.962097
35.7999992	-15.96	790.954529
35.7999992	-15.96	795.94696
35.7999992	-15.96	800.939392
35.7999992	-15.96	805.931824
35.7999992	-15.96	810.924255
35.7999992	-15.96	815.916687
35.7999992	-15.96	820.909119
35.7999992	-15.96	825.901489
35.7999992	-15.96	830.893921
35.7999992	-15.96	835.886353
35.7999992	-15.96	840.878784
35.7999992	-15.96	845.871216
35.7999992	-15.96	850.863647
35.7999992	-15.96	855.856079
35.7999992	-15.96	860.848511
35.7999992	-15.96	865.840881
35.7999992	-15.96	870.833313
35.7999992	-15.96	875.825745
35.7999992	-15.96	880.818176
35.7999992	-15.96	885.810608
35.7999992	-15.96	890.80304
35.7999992	-15.96	895.795471
35.7999992	-15.96	900.787903
35.7999992	-15.96	905.780273
35.7999992	-15.96	910.772705
35.7999992	-15.96	915.765137
35.7999992	-15.96	920.757568
